  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  8.2000e-13   100             0        2273       -10575         -8302 
  8.2500e-13    99      26846668        2267       -10569         -8302 
  8.3000e-13    99      44404458        2262       -10564         -8302 
  8.3500e-13    99      49059254        2256       -10559         -8302 
  8.4000e-13    99      99933044        2251       -10553         -8302 
  8.4500e-13    99      47292423        2246       -10548         -8302 
  8.5000e-13    98             0        2241       -10544         -8302 
  8.5500e-13    98             0        2237       -10539         -8302 
  8.6000e-13    98             0        2233       -10535         -8302 
  8.6500e-13    98             0        2230       -10532         -8302 
  8.7000e-13    98      27105749        2226       -10529         -8302 
  8.7500e-13    98             0        2224       -10526         -8302 
  8.8000e-13    97             0        2222       -10524         -8302 
  8.8500e-13    97      50645482        2221       -10523         -8302 
  8.9000e-13    97             0        2220       -10523         -8302 
  8.9500e-13    97             0        2221       -10523         -8302 
  9.0000e-13    97             0        2222       -10524         -8302 
  9.0500e-13    98      71491585        2223       -10525         -8302 
  9.1000e-13    98      94023930        2225       -10528         -8302 
  9.1500e-13    98      47027354        2228       -10530         -8302 
  9.2000e-13    98             0        2231       -10533         -8302 
  9.2500e-13    98             0        2235       -10537         -8302 
  9.3000e-13    98      42413693        2238       -10541         -8302 
  9.3500e-13    98      46311857        2242       -10544         -8302 
  9.4000e-13    99      56887067        2246       -10548         -8302 
  9.4500e-13    99     132530723        2250       -10552         -8302 
  9.5000e-13    99      61576797        2254       -10556         -8302 
  9.5500e-13    99      41687655        2257       -10559         -8302 
  9.6000e-13    99      73269341        2260       -10562         -8302 
  9.6500e-13    99             0        2263       -10565         -8302 
  9.7000e-13    99      59939527        2265       -10567         -8302 
  9.7500e-13    99      65573467        2267       -10569         -8302 
  9.8000e-13    99     133280966        2268       -10570         -8302 
  9.8500e-13   100      67927503        2269       -10571         -8302 
  9.9000e-13   100             0        2269       -10572         -8302 
  9.9500e-13   100     118618070        2270       -10572         -8302 
  1.0000e-12   100             0        2269       -10572         -8302 
